Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Thumbnail,Sequence,Item Number,Item Description,Item Rev,Qty,Min Qty,Max Qty,Optional,Mut Excl,Ref Des,Item Footprint,BOM Notes,For Documentation,Child Action,Technology,Item Lifecycle,Subclass,BOM Description,REACH Compliance,RoHS Compliance,Encryption,REACH Up To Date,Moisture Sensitivity Level (MSL),Special Assembly Instructions,Single Source,Item P2 Notes,Operation Temperature,Manufacture Part Has Redline,Mfr. Name,Mfr Full Name,Mfr Priority Suffix,Mfr. Lifecycle Phase,Conflict Minerals Status,Mfr. Part Number,Mfr. Part Lifecycle Phase,Packaging Type,Preferred Status,Country of Origin (MP),Last Time Buy,Last Time Ship,Weight (Gram),REACH Up To Date.1,REACH Compliance.1,RoHS Compliance.1,Reference Notes
1,TRUE,TRUE,FALSE,FALSE,,0,COT000641,CON Cooledge 120s + 2p RA 0.8mm pitch,SPR003528,1,,,,,J46,,,,Issue,Press Fit,Pilot,Connector,,,,No,,‎1 – Unlimited,,,,0°C to 70°C,False,AMPHENOL,AMPHENOL CANADA INC.,,Approved,Yes by Product,CEA212010326161,Active,Tray,,China,,,0.0,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000656,Con HeaderM 1x2 Ver TH 2.54mm 8.08+3.17+4.75,SPR003543,1,,,,,J4,CONN-HEADER-TH-254P493X635X1130-2,,,Issue,TH,Pilot,Connector,,,,No,,‎1 – Unlimited,,Y,,-55°C to 105°C,False,MOLEX,MOLEX CORPORATION LTD,,Approved,Not Conflict Free,22/11/2026,Active,bulk,,India,,,0.0,,26.SVHC_242_07Nov2024,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000657,Cage SFP28 1X8 PF SAN HS (17mm) 2LP 1 rear pin,SPR003547,3,,,,,"J41,J42,J43",CAGE-SFP28-1X8-PF-900P-11627X5480X1700-48,,,Issue,Press Fit,Pilot,Connector,,,,No,,N/A – Not Applicable,,Y,,-40°C to 85°C,False,TE,Tyco Electronics ltd,,Approved,Yes by Product,2294408-4,Active,tray,,China,,,0.0,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000658,Con HeaderM 1x5 TH 2.54  Ver 6+2.5+4.5mm,SPR003544,1,,,,,J3,CH31-1X5,,,Issue,TH,Pilot,Connector,,,,No,,‎1 – Unlimited,,,,-40°C to 105°C,False,Morecra,Morecrafts,,Approved,Not Conflict Free,PL2525G026.0/4.5-105,Active,bulk,,Taiwan,,,0.878966,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000659,Cage SFP28 1X8 PF PCI HS(15mm) No LP 1 rear pin,SPR003547,3,,,,,"J85,J86,J87",CAGE-SFP28-1X8-PF-900P-11627X4847X1500-48,,,Issue,Press Fit,Pilot,Connector,,,,No,,N/A – Not Applicable,,Y,,-40°C to 85°C,False,TE,Tyco Electronics ltd,,Approved,Yes by Product,2294408-2,Active,tray,,China,,,0.0,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000661,Cage QSFP28 1X4 SAN H/S 4LP No Rear Pins,SPR003547,1,,,,,J40,Cage-QSFP-1x4-PF-900P-6775x7650x1600-25,,,Issue,Press Fit,Pilot,Connector,,,,No,,N/A – Not Applicable,,,,0°C to 70°C,False,TE,Tyco Electronics ltd,,Approved,Yes by Product,4-2170747-5,Active,Tray,,China,,,46.196424,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,COT000664,Con HeaderM stacked 2x9 11.5mm Vert SMT,SPR003554,1,,,,,J11,CON_HEADERM_SM_254P2336X508X1150-18,,,Issue,SMT,Pilot,Connector,,,,No,,‎1 – Unlimited,,NO,,-40°C to 105°C,False,Morecra,Morecrafts,,Approved,Not Conflict Free,PMD2525G07 5.0/11.5/7.5-209RP,Active,T&R,,Taiwan,,,0.0,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,CRY000061-NCN,XTAL 12.000MHz 20/30ppm 18pF 3.2x2.5mm -40/85C,MCO007384,1,,,,,Y1,XTAL320X250X080,,,Issue,SMT,Pilot,Crystal / Oscillator,,,,No,,‎1 – Unlimited,,NO,,-40°C to 85°C,False,ABRACON,Abracon Corporation,,Approved,Yes by Manuf.,ABM8-12.000MHZ-D2Y-T,Active,T&R 1K,,,,,0.21176,,27.SVHC_247_21Jan2025,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Suntsu,Suntsu,,Approved,Yes by Manuf.,SXT32418DB48-12.000M,,T&R 3K,,,,,0.0,,,RoHS3 Compliant,
1,TRUE,FALSE,FALSE,FALSE,,0,DASP-90200-0180-GXX-SC,ASP - Assembly Procedure for 90200-0180-GXX-SC,1.0        ECO-013551,1,,,,,,,,Y,,,Production,Working Instructions,,Hila Milner,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,DIO000002-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,PANASONIC,Panasonic Industrial Company,,Approved,Yes by Product,DB2J20900L,EOL,T&R 2K,Preferred,,31/08/2019,30/11/2019,0.003886,,15. SVHC_201_21Jul19,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,EBZ000001,"BUZZER-PIEZO-12V-12mA-Dia.13.8mm,H 7mm,T/H,",SPR001015,1,,,,,BZ1,SPKR_1380X780,,,Issue,TH,Pilot,Electro Mechanical,,,,No,,‎1 – Unlimited,,,"3716-0004 BUZZER, PIEZO, INT DRIVE, TH, 4KHz, 12V, 7mA",0°C to 70°C,False,SOBERTO,SOBERTON INC.,,Approved,Yes by Manuf.,PB-1408-1,Active,,,,,,0.8,,17.SVHC_209_25Jun20,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402100NT-NCN,CAP-10p-0402-5%-NPO-50V,MCO007406,2,,,,,"C878,C884",C0402,,,Issue,SMT,Production,Capacitor,,,RoHS2,No,,‎1 – Unlimited,,,2220-0058 - Only Walsin,-55°C to 125°C,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05C100DB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001181,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,.,Approved,Not Conflict Free,CL05C100JB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001181,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,VISHAY,VISHAY SEMICONDUCTOR CORP.,,Approved,Yes by Product,VJ0402A100JXAC,Active,T&R 10K,Preferred,Israel,,,0.001216,17/12/2015 00:00:00 IST,17.SVHC_209_25Jun20,RoHS2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM1555C1H100JA01D,Active,T&R 10K,,Japan,,,0.0016,07/07/2017 00:00:00 IDT,18.SVHC_211_19Jan2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005NPO100JGTS,Active,T/R 10K,Preferred,Taiwan,,,0.00132,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,HITANO,HITANO ENTERPRISE CORP,,Approved,Yes by Manuf.,0402N100J500NT,Active,T&R 10K,Preferred,Taiwan,,,0.001216,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402JRNPO9BN100,Active,T&R 10K,,Taiwan,,,0.0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM1555C1H100RA01D,Active,T&R,,Japan,,,0.0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C100J5GAC,Active,T&R 10K,,Taiwan,,,0.0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,VENKEL,VENKEL LTD,,Approved,Yes by Manuf.,C0402C0G500-100JNP,Active,T&R 10K,,Taiwan,,,0.001216,15/01/2018 00:00:00 IST,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM1555C1H100JZ01D,Inactive,,Inactive,Japan,,,0.0016,,15. SVHC_201_21Jul19,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402103XT-NCN,CAP-10nF-0402-10%-X7R-50V,MCO007406,34,,,,,"C8,C9,C35,C172,C377,C547,C548,C549,C550,C551,C552,C553,C554,C555,C556,C557,C558,C865,C912,C930,C1069,C1070,C1713,C1714,C1715,C1716,C1717,C1718,C1719,C1720,C1721,C1722,C1723,C1725",C0402,,,Issue,SMT,Production,Capacitor,,,RoHS2,No,,‎1 – Unlimited,,NO,,-55°C to 125°C,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B103KB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.00155,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,.,Approved,Not Conflict Free,CL05B103KB5NNND,Active,T&R 15K,Preferred,Korea,,,0.00155,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C103K5RACTU,Active,T&R 10K,,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R103KGTS,Active,T&R 10K,Preferred,Taiwan,,,0.00065,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX7R9BB103,Active,T&R 10K,Preferred,Taiwan,,,0.0014,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71H103KA88D,Active,T&R 10K,,Japan,,,0.0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402104KX50T-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R104KGTS,Active,T&R 10K,Preferred,Taiwan,,,0.00065,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B104KB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001559,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KYOCERA,KYOCERA/AVX CORPORATION,,Approved,Yes by Product,04025C104KAT2A,Active,T&R 10K,,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX7R9BB104,Active,T&R 10K,Preferred,Taiwan,,,0.0014,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71H104KE14D,Active,T&R 10K,Preferred,Japan,,,0.0016,,18.SVHC_211_19Jan2021,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402152KXT-NCN,CAP-1n5-0402-10%-X7R-50V,MCO006580,2,,,,,"C174,C297",C0402,,,Issue,SMT,Production,Capacitor,,,RoHS2,No,,‎1 – Unlimited,,,,-55°C to 125°C,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B152KB5NNNC,Active,T&R,Preferred,Korea,,,0.00155,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,HITANO,HITANO ENTERPRISE CORP,,Approved,Yes by Manuf.,0402B152K500NU,Active,,Preferred,Taiwan,,,0.00134,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R152KGTS,Active,T&R 10K,Preferred,Taiwan,,,0.00142,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71H152KA01D,Active,,Preferred,Japan,,,0.0016,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402180NT-NCN,CAP-18p-0402-5%-NPO-50V,MCO006589,2,,,,,"C281,C299",C0402,,,Issue,SMT,Production,Capacitor,,,,No,,‎1 – Unlimited,,,,-55°C to 125°C,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05C180JB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001181,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM1555C1H180JZ01,Inactive,T&R 10K,Inactive,Japan,,,0.0,,15. SVHC_201_21Jul19,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,PANASONIC,Panasonic Industrial Company,,Approved,Yes by Product,ECJ-0EC1H180J,Inactive,T&R 10K,Inactive,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005NPO180JGTS,Active,T/R 10K,Preferred,Taiwan,,,0.00132,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,VENKEL,VENKEL LTD,,Approved,Yes by Manuf.,C0402C0G500-180JNP,Active,T&R 10K,Preferred,Taiwan,,,0.001216,15/01/2018 00:00:00 IST,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402473X725V-NCN,CAP-47n-0402-10%-X7R-25V,MCO006893,1,,,,,C372,C0402,,,Issue,SMT,Production,Capacitor,,,,No,,‎1 – Unlimited,,,2221-0022,-55°C to 125°C,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C473K3RAC7411,Active,T&R 50K (13''),,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C473K3RACTU,Active,T&R 10K,,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R473KFTS,Active,T&R 10K,Preferred,Taiwan,,,0.00065,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71E473KA88D,Active,T&R 10K,Preferred,Japan,,,0.0016,07/07/2017 00:00:00 IDT,17.SVHC_209_25Jun20,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,VENKEL,VENKEL LTD,,Approved,Yes by Manuf.,C0402X7R250-473KNP,Active,T&R 10K,,Taiwan,,,0.00134,15/01/2018 00:00:00 IST,20.SVHC_223_17Jan2022,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000027-NCN,CAP-220N-0402-10%-X5R-50V,MCO006893,12,,,,,"C77,C78,C79,C80,C87,C88,C89,C90,C91,C135,C387,C388",C0402,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,Y,,-55°C to 85°C,False,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX5R9BB224,Active,"10K / 7"" reel",Alternate,Taiwan,,,0.0,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000036-NCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM32EC80E337ME05K,Active,T&R 4K,Preferred,Japan,,,0.11,,17.SVHC_209_25Jun20,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM32EC80E337ME05L,Active,T&R 1K,Preferred,Japan,,,0.11,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,ECC000066-NCN,CAP-220n-0402-10%-X7R-16V,MCO007406,18,,,,,"C11,C12,C13,C14,C15,C16,C17,C18,C430,C431,C443,C450,C451,C454,C457,C458,C1009,C1010",C0402,,,Issue,SMT,Pilot,Capacitor,,,,No,,‎1 – Unlimited,,,,-55°C to 125°C,False,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B224KO5NNNC,Active,T&R 10K,,Korea,,,0.00155,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71C224KA12D,Active,T&R 10K,,Japan,,,0.0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,DARFON,DARFON,,Approved,Yes by Product,C1005X7R224KETS,Active,T/R 10K,Preferred,Taiwan,,,0.3,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GCM155R71C224KE02D,Active,T&R 10K,,Japan,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
